# Position, FD Concentration, SPH Concentration
3.206412825651302478e-01,1.311839007542416969e-03,1.278912204426621351e-03
3.246492985971943801e-01,1.745614865750373234e-03,1.706142968673281897e-03
3.286573146292585124e-01,2.308223981829376353e-03,2.261604348298923081e-03
3.326653306613226446e-01,3.032980017333286073e-03,2.978819571314500654e-03
3.366733466933867214e-01,3.960259935974297027e-03,3.898504257606772404e-03
3.406813627254508536e-01,5.138553025083491405e-03,5.069650390034706119e-03
3.446893787575149859e-01,6.625542841741165374e-03,6.550646723297933079e-03
3.486973947895791182e-01,8.489185726395429704e-03,8.410398031241208758e-03
3.527054108216432504e-01,1.080873880839309555e-02,1.072939428482338510e-02
3.567134268537073827e-01,1.367567922060368944e-02,1.360066900109485610e-02
3.607214428857715149e-01,1.719444511640055503e-02,1.713057421691049562e-02
3.647294589178356472e-01,2.148291877186738266e-02,2.143928859967764514e-02
3.687374749498997795e-01,2.667256343545868977e-02,2.666096604956703225e-02
3.727454909819639117e-01,3.290811965110909676e-02,3.294342584019336467e-02
3.767535070140280440e-01,4.034676459701418139e-02,4.044728303417985393e-02
3.807615230460921762e-01,4.915664062949612334e-02,4.934442075337326650e-02
3.847695390781562530e-01,5.951466770864856370e-02,5.981571496137035732e-02
3.887775551102203853e-01,7.160356955587954264e-02,7.204793863015120092e-02
3.927855711422845175e-01,8.560806583347099763e-02,8.622979612390296866e-02
3.967935871743486498e-01,1.017102125534276313e-01,1.025470705483404882e-01
4.008016032064127820e-01,1.200839100608277060e-01,1.211769063806157759e-01
4.048096192384769143e-01,1.408886414926917297e-01,1.422812960166725538e-01
4.088176352705410466e-01,1.642625531860211485e-01,1.659998904052145952e-01
4.128256513026051788e-01,1.903150400859235369e-01,1.924423084775607751e-01
4.168336673346693111e-01,2.191190511973326871e-01,2.216801748111700554e-01
4.208416833667334433e-01,2.507033794523724213e-01,2.537391665457668921e-01
4.248496993987975756e-01,2.850452436026668090e-01,2.885913953131126197e-01
4.288577154308617079e-01,3.220635033110968437e-01,3.261484840137851005e-01
4.328657314629258401e-01,3.616128690147762947e-01,3.662557179706761312e-01
4.368737474949899169e-01,4.034794722183758231e-01,4.086876520220932285e-01
4.408817635270540491e-01,4.473781471468397108e-01,4.531455369234919095e-01
4.448897795591181814e-01,4.929517395363090526e-01,4.992568884542523122e-01
4.488977955911823137e-01,5.397727023087004472e-01,5.465774605811039022e-01
4.529058116232464459e-01,5.873471618106576031e-01,5.945958010542107264e-01
4.569138276553105782e-01,6.351215444610489591e-01,6.427404665649819604e-01
4.609218436873747105e-01,6.824917457031099977e-01,6.903898592253314703e-01
4.649298597194388427e-01,7.288147060418534995e-01,7.368845221259453515e-01
4.689378757515029750e-01,7.734221386638624463e-01,7.815416056559728597e-01
4.729458917835671072e-01,8.156360364079264791e-01,8.236710953702952587e-01
4.769539078156312395e-01,8.547854797113643155e-01,8.625932839520319417e-01
4.809619238476953718e-01,8.902241784627470400e-01,8.976568814242054106e-01
4.849699398797595040e-01,9.213481156513069203e-01,9.282570955789182232e-01
4.889779559118235808e-01,9.476126243835611973e-01,9.538529836516421723e-01
4.929859719438877130e-01,9.685482257503117420e-01,9.739833798543741095e-01
4.969939879759518453e-01,9.837745848062939835e-01,9.882807427072485273e-01
5.010020040080159776e-01,9.930120051324224928e-01,9.964823401477309606e-01
5.050100200400801098e-01,9.960899765308453002e-01,9.984382958812655362e-01
5.090180360721442421e-01,9.929524107944583955e-01,9.941161520226589055e-01
5.130260521042083743e-01,9.836593408937625016e-01,9.836017536724602772e-01
5.170340681362725066e-01,9.683850116956622678e-01,9.670964223055109610e-01
5.210420841683366389e-01,9.474124470005822474e-01,9.449105476374404233e-01
5.250501002004007711e-01,9.211247295278502945e-01,9.174538828101672649e-01
5.290581162324649034e-01,8.899933691014818571e-01,8.852229666748027137e-01
5.330661322645290356e-01,8.545642521970666650e-01,8.487862121535363347e-01
5.370741482965931679e-01,8.154417571073340198e-01,8.087672852555993774e-01
5.410821643286573002e-01,7.732716789478980557e-01,7.658274514130950505e-01
5.450901803607214324e-01,7.287236352552253216e-01,7.206475826845164523e-01
5.490981963927855647e-01,6.824736158356591309e-01,6.739105015662051335e-01
5.531062124248496970e-01,6.351873016600766420e-01,6.262842872706039232e-01
5.571142284569138292e-01,5.875047106465848268e-01,5.784070928120599309e-01
5.611222444889779615e-01,5.400266383124516789e-01,5.308739219500304696e-01
5.651302605210419827e-01,4.933032547558985348e-01,4.842257007907150301e-01
5.691382765531061150e-01,4.478251030920877840e-01,4.389408568925295961e-01
5.731462925851702472e-01,4.040166252646235634e-01,3.954294962350252685e-01
5.771543086172343795e-01,3.622322256764709536e-01,3.540301520293137050e-01
5.811623246492985118e-01,3.227547771670470356e-01,3.150089747729378220e-01
5.851703406813626440e-01,2.857963822667519693e-01,2.785611446619332132e-01
5.891783567134267763e-01,2.515011288636533338e-01,2.448142185469313059e-01
5.931863727454909085e-01,2.199495255105687053e-01,2.138330756780115194e-01
5.971943887775550408e-01,1.911642682955666528e-01,1.856260997343419927e-01
6.012024048096191731e-01,1.651169779278645611e-01,1.601522280227261064e-01
6.052104208416833053e-01,1.417355507888418409e-01,1.373285101471050096e-01
6.092184368737474376e-01,1.209117886362104100e-01,1.170378450055088032e-01
6.132264529058115698e-01,1.025090053042578553e-01,9.913660326765649788e-02
6.172344689378757021e-01,8.636935166914666562e-02,8.346188891314909597e-02
6.212424849699398344e-01,7.232064883936852040e-02,6.983824439627835112e-02
6.252505010020039666e-01,6.018257064981053645e-02,5.808365623946270401e-02
6.292585170340680989e-01,4.977206709901861592e-02,4.801476846461384673e-02
6.332665330661322312e-01,4.090796787564959097e-02,3.945125791657679709e-02
6.372745490981963634e-01,3.341474764137439268e-02,3.221936648517530200e-02
6.412825651302604957e-01,2.712547093928649802e-02,2.615461937422439154e-02
6.452905811623246279e-01,2.188396372487222408e-02,2.110378535616267565e-02
6.492985971943887602e-01,1.754628034409362949e-02,1.692615435810192540e-02
6.533066132264528925e-01,1.398154953219096254e-02,1.349422013683314325e-02
6.573146292585170247e-01,1.107229125347564125e-02,1.069386192209091646e-02
6.613226452905811570e-01,8.714298775620472892e-03,8.424119658492471366e-03
6.653306613226452892e-01,6.816178254795196220e-03,6.596653892313649251e-03
6.693386773547093105e-01,5.298632347585917682e-03,5.134974494630196659e-03
6.733466933867734427e-01,4.093565996888677908e-03,3.973513311374179610e-03
6.773547094188375750e-01,3.143082524534991130e-03,3.056605413367475231e-03
6.813627254509017073e-01,2.398427350918793440e-03,2.337432685313150810e-03
6.853707414829658395e-01,1.818925757839104937e-03,1.776972692648927507e-03
6.893787575150299718e-01,1.370950669285646989e-03,1.342985595012868068e-03
6.933867735470941041e-01,1.026946848986952073e-03,1.009062682030894024e-03
6.973947895791582363e-01,7.645294658449465052e-04,7.537521038644356096e-04
7.014028056112223686e-01,5.656677985030063955e-04,5.597706531087386561e-04
7.054108216432865008e-01,4.159589759935661485e-04,4.133050310808139083e-04
7.094188376753506331e-01,3.039920412113809325e-04,3.034018350767232839e-04
7.134268537074147654e-01,2.207991792829446485e-04,2.214424200269989387e-04
7.174348697394788976e-01,1.593885383044379978e-04,1.606966748808797449e-04
